Feedback Text,Cleaned Text,Seat Component,Cue Word,Component Frequency in Text,Sentence Sentiment Label,Sentence Sentiment Score,Sentence Text,Entity Start Char (Cleaned),Entity End Char (Cleaned)
The Private Suite Seat Was Extremely Comfortable and Felt Very Premium.I LOVED HOW FAR it reclined - I could almost be flat and sleep peaceful.,the private suite seat was extremely comfortable and felt very premium.i loved how far it reclined i could almost be flat and sleep peaceful.,RECLINER,reclined,1,POSITIVE,0.9989,the private suite seat was extremely comfortable and felt very premium.i loved how far it reclined i could almost be flat and sleep peaceful.,90,98
"The seat was push and could recline into a flat bed, which made my overnight trip very relaxing.It feels like flying first class on a train!","the seat was push and could recline into a flat bed, which made my overnight trip very relaxing.it feels like flying first class on a train!",RECLINER,recline,1,POSITIVE,0.9988,"the seat was push and could recline into a flat bed, which made my overnight trip very relaxing.it feels like flying first class on a train!",28,35
"Amazing Experience!The Suite’s Seat Comes with a Massage Function and Seat Warmer, Making the Long Journey Super Comfortable and Cozy.","amazing experience!the suites seat comes with a massage function and seat warmer, making the long journey super comfortable and cozy.",SEAT_MESSAGE,massage function,1,POSITIVE,0.9989,"amazing experience!the suites seat comes with a massage function and seat warmer, making the long journey super comfortable and cozy.",48,64
"Traveling in the suite compartment was worth it.The Seat is spachious with Plenty of Legroom, and I appreciated the personal TV and Headphones provided at the Seat.","traveling in the suite compartment was worth it.the seat is spachious with plenty of legroom, and i appreciated the personal tv and headphones provided at the seat.",FOOTREST,legroom,1,POSITIVE,0.9989,"traveling in the suite compartment was worth it.the seat is spachious with plenty of legroom, and i appreciated the personal tv and headphones provided at the seat.",85,92
"Honestly, the seat was comfortable for sitting, but I found it a bit too firm to sleep on for the whole night.I Expected a Softer Cushion at this Price.","honestly, the seat was comfortable for sitting, but i found it a bit too firm to sleep on for the whole night.i expected a softer cushion at this price.",CUSHION,cushion,1,POSITIVE,0.9766,"honestly, the seat was comfortable for sitting, but i found it a bit too firm to sleep on for the whole night.i expected a softer cushion at this price.",130,137
"Loved the privacy of the suite.The sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortable.","loved the privacy of the suite.the sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortable.",RECLINER,reclining,1,POSITIVE,0.9989,"loved the privacy of the suite.the sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortable.",79,88
"Loved the privacy of the suite.The sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortable.","loved the privacy of the suite.the sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortable.",MATERIAL,leather,1,POSITIVE,0.9989,"loved the privacy of the suite.the sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortable.",89,96
"Loved the privacy of the suite.The sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortable.","loved the privacy of the suite.the sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortable.",FOOTREST,footrest,1,POSITIVE,0.9989,"loved the privacy of the suite.the sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortable.",118,126
It's a cool experience to have a Lie-Flat Seat on a Train.The controls were easy to use and I could adjust the seat angle for reading or napping easily.,it's a cool experience to have a lieflat seat on a train.the controls were easy to use and i could adjust the seat angle for reading or napping easily.,RECLINER,seat angle,1,POSITIVE,0.9988,it's a cool experience to have a lieflat seat on a train.the controls were easy to use and i could adjust the seat angle for reading or napping easily.,110,120
"The Chair was comfortable and came with a blanket and pillow which was nice.Howver, The Tray Table Was Pretty Small - Barely Fit My Laptop.","the chair was comfortable and came with a blanket and pillow which was nice.howver, the tray table was pretty small barely fit my laptop.",TRAYTABLE,tray table,1,POSITIVE,0.9519,"the chair was comfortable and came with a blanket and pillow which was nice.howver, the tray table was pretty small barely fit my laptop.",88,98
"A Truly Premium Feel.The leather seat is soft, and you get a personal compartment.The seat event rotates to face the window, which was great for the view.","a truly premium feel.the leather seat is soft, and you get a personal compartment.the seat event rotates to face the window, which was great for the view.",MATERIAL,leather,1,POSITIVE,0.9988,"a truly premium feel.the leather seat is soft, and you get a personal compartment.the seat event rotates to face the window, which was great for the view.",25,32
"I appreciated the big, cozy reclining seat and the personal space.It made the high ticket price feel justified for a once-in-a-lifetime train trip.","i appreciated the big, cozy reclining seat and the personal space.it made the high ticket price feel justified for a onceinalifetime train trip.",RECLINER,reclining,1,POSITIVE,0.9989,"i appreciated the big, cozy reclining seat and the personal space.it made the high ticket price feel justified for a onceinalifetime train trip.",28,37
Absolutely is loved the reclining seat and the fact that it has a massage function.The Journey Felt Shorter because I was so relaxed in my private seat.,absolutely is loved the reclining seat and the fact that it has a massage function.the journey felt shorter because i was so relaxed in my private seat.,RECLINER,reclining,1,POSITIVE,0.9989,absolutely is loved the reclining seat and the fact that it has a massage function.the journey felt shorter because i was so relaxed in my private seat.,24,33
Absolutely is loved the reclining seat and the fact that it has a massage function.The Journey Felt Shorter because I was so relaxed in my private seat.,absolutely is loved the reclining seat and the fact that it has a massage function.the journey felt shorter because i was so relaxed in my private seat.,SEAT_MESSAGE,massage,1,POSITIVE,0.9989,absolutely is loved the reclining seat and the fact that it has a massage function.the journey felt shorter because i was so relaxed in my private seat.,66,73
The privacy and comfort of the seat are on another level.I did'T even hear much noise from outside when I closed the door and recline my seat.,the privacy and comfort of the seat are on another level.i did't even hear much noise from outside when i closed the door and recline my seat.,RECLINER,recline,1,POSITIVE,0.9989,the privacy and comfort of the seat are on another level.i did't even hear much noise from outside when i closed the door and recline my seat.,126,133
"The Best Train Seat I've Ever Tred.It reclines complelely flat, and the built-in seat warmer kept me from getting cold in the ac.","the best train seat i've ever tred.it reclines complelely flat, and the builtin seat warmer kept me from getting cold in the ac.",RECLINER,reclines,1,POSITIVE,0.9988,"the best train seat i've ever tred.it reclines complelely flat, and the builtin seat warmer kept me from getting cold in the ac.",38,46
"Luxurious Seat and Excellent Privacy.The only downside is that if you want to chat with a travel company, the separate compartments make it hard.","luxurious seat and excellent privacy.the only downside is that if you want to chat with a travel company, the separate compartments make it hard.",SEAT_WARMER,separate compartments,1,POSITIVE,0.9988,"luxurious seat and excellent privacy.the only downside is that if you want to chat with a travel company, the separate compartments make it hard.",110,131
"I tried the kai suite after seeing a video about it, and it blew my mind.The seat was like a first-class airplane seat, complete with a full recline and massage feature.","i tried the kai suite after seeing a video about it, and it blew my mind.the seat was like a firstclass airplane seat, complete with a full recline and massage feature.",RECLINER,recline,1,POSITIVE,0.9988,"i tried the kai suite after seeing a video about it, and it blew my mind.the seat was like a firstclass airplane seat, complete with a full recline and massage feature.",140,147
"I tried the kai suite after seeing a video about it, and it blew my mind.The seat was like a first-class airplane seat, complete with a full recline and massage feature.","i tried the kai suite after seeing a video about it, and it blew my mind.the seat was like a firstclass airplane seat, complete with a full recline and massage feature.",SEAT_MESSAGE,massage,1,POSITIVE,0.9988,"i tried the kai suite after seeing a video about it, and it blew my mind.the seat was like a firstclass airplane seat, complete with a full recline and massage feature.",152,159
