Feedback Text,Cleaned Text,Seat Component,Cue Word,Component Frequency in Text,Sentence Sentiment Label,Sentence Sentiment Score,Sentence Text,Entity Start Char (Cleaned),Entity End Char (Cleaned)
The Private Suite Seat Was Extremely Comfortable and Felt Very Premium.I LOVED HOW FAR it reclined - I could almost be flat and sleep peaceful.,the private suite seat was extremely comfortable and felt very premium.i loved how far it reclined - i could almost be flat and sleep peaceful.,RECLINER,reclined,1,positive,0.9988721013069153,the private suite seat was extremely comfortable and felt very premium.i loved how far it reclined - i could almost be flat and sleep peaceful.,90,98
"The seat was push and could recline into a flat bed, which made my overnight trip very relaxing.It feels like flying first class on a train!","the seat was push and could recline into a flat bed, which made my overnight trip very relaxing.it feels like flying first class on a train!",RECLINER,recline,1,positive,0.9988123178482056,"the seat was push and could recline into a flat bed, which made my overnight trip very relaxing.it feels like flying first class on a train!",28,35
"Amazing Experience!The Suite’s Seat Comes with a Massage Function and Seat Warmer, Making the Long Journey Super Comfortable and Cozy.","amazing experience!the suites seat comes with a massage function and seat warmer, making the long journey super comfortable and cozy.",SEAT_MESSAGE,massage function,1,positive,0.9989122152328491,"amazing experience!the suites seat comes with a massage function and seat warmer, making the long journey super comfortable and cozy.",48,64
"Amazing Experience!The Suite’s Seat Comes with a Massage Function and Seat Warmer, Making the Long Journey Super Comfortable and Cozy.","amazing experience!the suites seat comes with a massage function and seat warmer, making the long journey super comfortable and cozy.",SEAT_WARMER,seat warmer,1,positive,0.9989122152328491,"amazing experience!the suites seat comes with a massage function and seat warmer, making the long journey super comfortable and cozy.",69,80
"Traveling in the suite compartment was worth it.The Seat is spachious with Plenty of Legroom, and I appreciated the personal TV and Headphones provided at the Seat.","traveling in the suite compartment was worth it.the seat is spachious with plenty of legroom, and i appreciated the personal tv and headphones provided at the seat.",FOOTREST,legroom,1,positive,0.99891197681427,"traveling in the suite compartment was worth it.the seat is spachious with plenty of legroom, and i appreciated the personal tv and headphones provided at the seat.",85,92
"Honestly, the seat was comfortable for sitting, but I found it a bit too firm to sleep on for the whole night.I Expected a Softer Cushion at this Price.","honestly, the seat was comfortable for sitting, but i found it a bit too firm to sleep on for the whole night.i expected a softer cushion at this price.",CUSHION,cushion,1,positive,0.9765807390213013,"honestly, the seat was comfortable for sitting, but i found it a bit too firm to sleep on for the whole night.i expected a softer cushion at this price.",130,137
"Loved the privacy of the suite.The sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortable.","loved the privacy of the suite.the sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortable.",RECLINER,reclining,1,positive,0.9989151954650879,"loved the privacy of the suite.the sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortable.",79,88
"Loved the privacy of the suite.The sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortable.","loved the privacy of the suite.the sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortable.",MATERIAL,leather,1,positive,0.9989151954650879,"loved the privacy of the suite.the sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortable.",89,96
"Loved the privacy of the suite.The sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortable.","loved the privacy of the suite.the sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortable.",FOOTREST,footrest,1,positive,0.9989151954650879,"loved the privacy of the suite.the sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortable.",118,126
Excellent Service and an Incredibly Comfortable Seat.I estially enjoy the built-in massage-it kept me relaxed throughout the 10-hour ride.,excellent service and an incredibly comfortable seat.i estially enjoy the built-in massage-it kept me relaxed throughout the 10-hour ride.,SEAT_MESSAGE,massage,1,positive,0.9989123344421387,excellent service and an incredibly comfortable seat.i estially enjoy the built-in massage-it kept me relaxed throughout the 10-hour ride.,83,90
It's a cool experience to have a Lie-Flat Seat on a Train.The controls were easy to use and I could adjust the seat angle for reading or napping easily.,it's a cool experience to have a lie-flat seat on a train.the controls were easy to use and i could adjust the seat angle for reading or napping easily.,RECLINER,seat angle,1,positive,0.9988357424736023,it's a cool experience to have a lie-flat seat on a train.the controls were easy to use and i could adjust the seat angle for reading or napping easily.,111,121
"The Chair was comfortable and came with a blanket and pillow which was nice.Howver, The Tray Table Was Pretty Small - Barely Fit My Laptop.","the chair was comfortable and came with a blanket and pillow which was nice.howver, the tray table was pretty small - barely fit my laptop.",TRAYTABLE,tray table,1,negative,0.9342489242553711,"the chair was comfortable and came with a blanket and pillow which was nice.howver, the tray table was pretty small - barely fit my laptop.",88,98
"A Truly Premium Feel.The leather seat is soft, and you get a personal compartment.The seat event rotates to face the window, which was great for the view.","a truly premium feel.the leather seat is soft, and you get a personal compartment.the seat event rotates to face the window, which was great for the view.",MATERIAL,leather,1,positive,0.9988413453102112,"a truly premium feel.the leather seat is soft, and you get a personal compartment.the seat event rotates to face the window, which was great for the view.",25,32
"I appreciated the big, cozy reclining seat and the personal space.It made the high ticket price feel justified for a once-in-a-lifetime train trip.","i appreciated the big, cozy reclining seat and the personal space.it made the high ticket price feel justified for a once-in-a-lifetime train trip.",RECLINER,reclining,1,positive,0.998879611492157,"i appreciated the big, cozy reclining seat and the personal space.it made the high ticket price feel justified for a once-in-a-lifetime train trip.",28,37
Absolutely is loved the reclining seat and the fact that it has a massage function.The Journey Felt Shorter because I was so relaxed in my private seat.,absolutely is loved the reclining seat and the fact that it has a massage function.the journey felt shorter because i was so relaxed in my private seat.,RECLINER,reclining,1,positive,0.9988906979560852,absolutely is loved the reclining seat and the fact that it has a massage function.the journey felt shorter because i was so relaxed in my private seat.,24,33
Absolutely is loved the reclining seat and the fact that it has a massage function.The Journey Felt Shorter because I was so relaxed in my private seat.,absolutely is loved the reclining seat and the fact that it has a massage function.the journey felt shorter because i was so relaxed in my private seat.,SEAT_MESSAGE,massage function.the,1,positive,0.9988906979560852,absolutely is loved the reclining seat and the fact that it has a massage function.the journey felt shorter because i was so relaxed in my private seat.,66,86
The privacy and comfort of the seat are on another level.I did'T even hear much noise from outside when I closed the door and recline my seat.,the privacy and comfort of the seat are on another level.i did't even hear much noise from outside when i closed the door and recline my seat.,RECLINER,recline,1,positive,0.9989092350006104,the privacy and comfort of the seat are on another level.i did't even hear much noise from outside when i closed the door and recline my seat.,126,133
"The Best Train Seat I've Ever Tred.It reclines complelely flat, and the built-in seat warmer kept me from getting cold in the ac.","the best train seat i've ever tred.it reclines complelely flat, and the built-in seat warmer kept me from getting cold in the ac.",RECLINER,reclines,1,positive,0.9988260865211487,"the best train seat i've ever tred.it reclines complelely flat, and the built-in seat warmer kept me from getting cold in the ac.",38,46
"I tried the kai suite after seeing a video about it, and it blew my mind.The seat was like a first-class airplane seat, complete with a full recline and massage feature.","i tried the kai suite after seeing a video about it, and it blew my mind.the seat was like a first-class airplane seat, complete with a full recline and massage feature.",RECLINER,recline,1,positive,0.9988131523132324,"i tried the kai suite after seeing a video about it, and it blew my mind.the seat was like a first-class airplane seat, complete with a full recline and massage feature.",141,148
"I tried the kai suite after seeing a video about it, and it blew my mind.The seat was like a first-class airplane seat, complete with a full recline and massage feature.","i tried the kai suite after seeing a video about it, and it blew my mind.the seat was like a first-class airplane seat, complete with a full recline and massage feature.",SEAT_MESSAGE,massage,1,positive,0.9988131523132324,"i tried the kai suite after seeing a video about it, and it blew my mind.the seat was like a first-class airplane seat, complete with a full recline and massage feature.",153,160
This train's suite compartment is absolutely worth it.The reclining seat was super comfy for the Overnight Trip and I LOVED HAVING MY OWN PRIVATE SPACE.,this train's suite compartment is absolutely worth it.the reclining seat was super comfy for the overnight trip and i loved having my own private space.,RECLINER,reclining,1,positive,0.9989243149757385,this train's suite compartment is absolutely worth it.the reclining seat was super comfy for the overnight trip and i loved having my own private space.,58,67
"Honestly, The Suite Class Seat was comfortable but not as soft as I expected.It's cool that is lies flat, but the cushioning feel a little firm when sleeping.","honestly, the suite class seat was comfortable but not as soft as i expected.it's cool that is lies flat, but the cushioning feel a little firm when sleeping.",CUSHION,cushioning,1,positive,0.99542635679245,"honestly, the suite class seat was comfortable but not as soft as i expected.it's cool that is lies flat, but the cushioning feel a little firm when sleeping.",114,124
Loved the experience!The Seat Even Had Seat Warming and a Massage Function.Fell Asleep with the Gentle Vibration of the Massage - SO Relaxing.,loved the experience!the seat even had seat warming and a massage function.fell asleep with the gentle vibration of the massage - so relaxing.,SEAT_WARMER,seat warming,1,positive,0.9989122152328491,loved the experience!the seat even had seat warming and a massage function.fell asleep with the gentle vibration of the massage - so relaxing.,39,51
Loved the experience!The Seat Even Had Seat Warming and a Massage Function.Fell Asleep with the Gentle Vibration of the Massage - SO Relaxing.,loved the experience!the seat even had seat warming and a massage function.fell asleep with the gentle vibration of the massage - so relaxing.,SEAT_MESSAGE,massage function.fell,1,positive,0.9989122152328491,loved the experience!the seat even had seat warming and a massage function.fell asleep with the gentle vibration of the massage - so relaxing.,58,79
Loved the experience!The Seat Even Had Seat Warming and a Massage Function.Fell Asleep with the Gentle Vibration of the Massage - SO Relaxing.,loved the experience!the seat even had seat warming and a massage function.fell asleep with the gentle vibration of the massage - so relaxing.,CUSHION,massage -,1,positive,0.9989122152328491,loved the experience!the seat even had seat warming and a massage function.fell asleep with the gentle vibration of the massage - so relaxing.,120,129
This is like an airline first class on the ground.The Suite’s Leather Seat is Super Comfy and Can Fully Recline.I LOVED THE LITTLE DETAILS LIKE THE READING LIGHT AND CUP Holder at The Seat.,this is like an airline first class on the ground.the suites leather seat is super comfy and can fully recline.i loved the little details like the reading light and cup holder at the seat.,MATERIAL,leather,1,positive,0.9988695979118347,this is like an airline first class on the ground.the suites leather seat is super comfy and can fully recline.i loved the little details like the reading light and cup holder at the seat.,61,68
