review_id,review_text,text_length,entities,entity_count,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_category,dominant_kansei,kansei_luxury,kansei_comfort,kansei_safety,kansei_innovation,kansei_disappointment,kansei_discomfort
0,The private suite seat was extremely comfortable and felt very premium. I loved how far it reclined – I could almost lie flat and sleep peacefully.,147,RECLINER:reclined,1,0.038461538461538464,0.0,0.9615384615384616,0.038461538461538464,Neutral,Comfort,0.0,0.05,0.0,0.0,-0.0,-0.0
1,"The seat was plush and could recline into a flat bed, which made my overnight trip very relaxing. It felt like flying first class on a train!",141,RECLINER:recline,1,0.0,0.0,1.0,0.0,Neutral,Comfort,0.0,0.04814814814814815,0.0,0.0,-0.0,-0.0
2,"Amazing experience! The suite’s seat comes with a massage function and seat warmer, making the long journey super comfortable and cozy.",135,SEAT_MESSAGE:massage function|SEAT_WARMER:seat warmer,2,0.09523809523809523,0.0,0.9047619047619048,0.09523809523809523,Neutral,Comfort,0.0,0.06190476190476191,0.0,0.0,-0.0,-0.0
3,"Traveling in the suite compartment was worth it. The seat is spacious with plenty of legroom, and I appreciated the personal TV and headphones provided at the seat.",164,FOOTREST:legroom,1,0.03571428571428571,0.0,0.9642857142857143,0.03571428571428571,Neutral,Neutral,0.0,0.0,0.0,0.0,-0.0,-0.0
4,"Honestly, the seat was comfortable for sitting, but I found it a bit too firm to sleep on for the whole night. I expected a softer cushion at this price.",153,CUSHION:cushion,1,0.03333333333333333,0.0,0.9666666666666667,0.03333333333333333,Neutral,Comfort,0.0,0.043333333333333335,0.0,0.0,-0.0,-0.0
5,"Loved the privacy of the suite. The sliding door gave me a quiet space, and the reclining leather seat with adjustable footrest let me stretch out comfortably.",159,RECLINER:reclining|MATERIAL:leather|FOOTREST:footrest,3,0.0,0.0,1.0,0.0,Neutral,Neutral,0.0,0.0,0.0,0.0,-0.0,-0.0
6,Excellent service and an incredibly comfortable seat. I especially enjoyed the built-in massage – it kept me relaxed throughout the 10-hour ride.,145,SEAT_MESSAGE:massage,1,0.09090909090909091,0.0,0.9090909090909091,0.09090909090909091,Neutral,Comfort,0.0,0.0590909090909091,0.0,0.0,-0.0,-0.0
7,It’s a cool experience to have a lie-flat seat on a train. The controls were easy to use and I could adjust the seat angle for reading or napping easily.,153,RECLINER:seat angle,1,0.03333333333333333,0.0,0.9666666666666667,0.03333333333333333,Neutral,Neutral,0.0,0.0,0.0,0.0,-0.0,-0.0
8,"The chair was comfortable and came with a blanket and pillow which was nice. However, the tray table was pretty small – barely fit my laptop.",141,TRAYTABLE:tray table,1,0.038461538461538464,0.0,0.9615384615384616,0.038461538461538464,Neutral,Comfort,0.0,0.05,0.0,0.0,-0.0,-0.0
9,"A truly premium feel. The leather seat is soft, and you get a personal compartment. The seat even rotates to face the window, which was great for the view.",155,MATERIAL:leather,1,0.06896551724137931,0.0,0.9310344827586207,0.06896551724137931,Neutral,Luxury,0.05172413793103448,0.0,0.0,0.0,-0.0,-0.0
10,"I appreciated the big, cozy reclining seat and the personal space. It made the high ticket price feel justified for a once-in-a-lifetime train trip.",148,RECLINER:reclining,1,0.0,0.0,1.0,0.0,Neutral,Comfort,0.0,0.05416666666666667,0.0,0.0,-0.0,-0.0
11,Absolutely loved the reclining seat and the fact that it has a massage function. The journey felt shorter because I was so relaxed in my private seat.,150,RECLINER:reclining|SEAT_MESSAGE:massage,2,0.0,0.0,1.0,0.0,Neutral,Neutral,0.0,0.0,0.0,0.0,-0.0,-0.0
12,The privacy and comfort of the seat are on another level. I didn’t even hear much noise from outside when I closed the door and reclined my seat.,145,RECLINER:reclined,1,0.0,0.0,1.0,0.0,Neutral,Neutral,0.0,0.0,0.0,0.0,-0.0,-0.0
13,"The best train seat I’ve ever tried. It reclines completely flat, and the built-in seat warmer kept me from getting cold in the AC.",131,RECLINER:reclines,1,0.041666666666666664,0.0,0.9583333333333334,0.041666666666666664,Neutral,Neutral,0.0,0.0,0.0,0.0,-0.0,-0.0
14,"I tried the KAI suite after seeing a video about it, and it blew my mind. The seat was like a first-class airplane seat, complete with a full recline and massage feature.",170,RECLINER:recline|SEAT_MESSAGE:massage,2,0.0,0.0,1.0,0.0,Neutral,Neutral,0.0,0.0,0.0,0.0,-0.0,-0.0
15,This train’s suite compartment is absolutely worth it. The reclining seat was super comfy for the overnight trip and I loved having my own private space.,153,RECLINER:reclining,1,0.038461538461538464,0.0,0.9615384615384616,0.038461538461538464,Neutral,Neutral,0.0,0.0,0.0,0.0,-0.0,-0.0
16,"Honestly, the suite class seat was comfortable but not as soft as I expected. It’s cool that it lies flat, but the cushioning felt a little firm when sleeping.",159,CUSHION:cushioning,1,0.06896551724137931,0.0,0.9310344827586207,0.06896551724137931,Neutral,Comfort,0.0,0.0896551724137931,0.0,0.0,-0.0,-0.0
